From: Contemporary deformation in the Yakima fold and thrust belt estimated
ROWE 238.6955 45.6801 211 0.38 2.89 1.16 0.15 0.16 3.82 0.003
RPT1 237.6252 47.3875 0 2.56 3.44 -0.95 0.23 0.27 0.66 -0.002
RSLK 238.9303 48.7333 476 5.93 0.73 19.96 1.78 1.88 78.12 -0.310
RSRG 240.4104 46.3914 1053 0.07 1.03 -3.30 0.34 0.36 19.25 0.002
S262 242.9505 46.4259 217 -0.29 -0.81 1.76 0.60 0.74 2.62 -0.081
S389 239.9302 48.1574 363 0.03 0.99 -2.05 0.44 0.56 1.98 0.020
S408 243.2019 44.4449 938 -2.22 -0.12 -0.87 0.31 0.37 1.31 -0.067
S509 241.2872 47.7607 638 -0.48 0.49 -2.38 0.29 0.40 1.25 0.052
SAD2 240.3288 46.8136 779 -0.13 0.95 -2.69 0.23 0.24 16.41 0.009
SANM 238.0511 44.4341 1116 -0.25 3.29 -0.06 0.42 0.50 2.23 -0.058
SAT3 240.6622 47.1852 347 -0.83 1.01 -3.13 0.16 0.18 16.54 -0.012
SBRK 240.8830 47.8670 499 -0.09 -0.10 -1.98 0.25 0.30 11.72 -0.014
SC00 239.2754 46.9509 1178 0.18 1.54 -1.99 0.21 0.17 0.61 0.001
SCHO 237.1245 47.8242 0 4.58 3.77 0.06 0.45 0.48 1.09 0.008
SCOL 243.4537 46.5149 381 -1.02 0.25 -2.59 1.08 1.62 4.99 0.054
SDRO 237.7720 48.5076 0 1.97 3.03 3.28 0.81 1.04 3.62 -0.098
SEAT 237.6905 47.6540 44 2.60 2.99 -1.94 0.16 0.15 0.45 0.001
SEDR 237.7762 48.5216 29 1.95 2.20 -1.81 0.15 0.14 0.48 0.002
SEDR 237.7762 48.5216 29 2.92 2.49 -1.49 0.55 0.56 1.56 0.008
SHKO 239.0535 44.9204 961 -0.70 2.29 -2.15 0.17 0.15 0.52 -0.004
SHPK 239.5228 46.6024 292 0.12 1.65 -3.42 0.18 0.21 0.72 0.040
SINK 238.2243 44.0232 1647 -0.91 -0.43 6.57 3.09 2.09 7.96 -0.015
SIST 238.4441 44.3057 946 -0.78 2.96 -2.59 0.33 0.40 1.96 -0.092
SKMA 238.1160 45.6942 43 1.95 3.47 -3.84 0.32 0.45 1.16 0.003
SKOO 243.8266 45.7488 1403 -0.84 0.17 -3.45 0.37 0.46 1.59 -0.014
SKYO 238.8721 44.6339 662 -0.92 2.03 -3.13 0.71 0.98 5.09 -0.092
SMLT 243.8245 47.5459 667 -0.70 -0.23 -6.39 0.51 0.63 2.21 -0.058
SNOQ 238.6117 47.3913 770 0.76 2.66 -1.43 0.23 0.24 1.04 -0.004
SPIL 238.6998 46.8729 1029 1.02 2.49 2.13 0.75 0.85 3.39 -0.173
SPN1 242.5763 47.5184 719 -0.48 0.13 -1.28 0.12 0.13 0.47 0.003
SPN5 242.5763 47.5184 720 -0.48 0.13 -1.28 0.12 0.13 0.47 0.003
SPN6 242.5766 47.5184 720 -0.48 0.13 -1.28 0.12 0.13 0.47 0.003
SPOO 237.8360 47.4008 140 2.27 3.45 -2.38 0.57 0.74 10.07 -0.122
SPR4 238.8629 46.2269 1535 0.65 2.27 -2.05 0.26 0.29 1.12 -0.011
SPRG 242.0247 47.3099 600 -0.62 0.34 -1.71 0.19 0.20 0.66 0.004
SPRO 237.1259 45.2694 129 2.06 5.53 -0.82 0.18 0.19 0.66 -0.003
STAR 240.0575 48.5281 2047 -0.08 -0.77 19.44 0.38 0.46 58.11 0.038
STAY 237.1791 44.8307 110 1.83 5.25 -0.05 0.20 0.18 0.99 0.001
STEV 238.1172 45.6922 10 0.55 3.76 -3.20 0.19 0.22 1.83 -0.053
STHM 237.2658 44.3962 144 1.27 5.44 -1.91 0.29 0.34 0.78 0.000
STOL 238.3303 45.3045 1269 0.40 3.39 1.47 0.54 0.73 2.48 0.026
STON 240.9374 45.0036 783 -1.55 1.36 -3.50 0.38 0.45 1.70 -0.118
STVP 238.9080 47.7511 1369 0.76 1.96 0.70 0.36 0.50 1.63 -0.093
STWD 237.6520 48.2393 0 2.26 3.85 -11.09 0.75 0.92 3.93 -0.057
SUCI 237.1155 48.7482 0 2.36 4.52 -1.74 1.07 1.11 4.71 0.002
SUNR 238.3579 46.9135 1925 -1.64 2.29 5.65 3.33 2.46 10.61 -0.163
T408 243.1879 44.4398 996 -2.96 0.55 -0.76 0.85 0.90 1.48 -0.008
TAUN 240.6793 46.7747 559 0.19 0.84 -2.14 0.17 0.18 0.68 0.017
TDLS 238.8705 45.6077 25 1.07 2.81 -2.81 0.25 0.29 0.64 0.001
TERH 239.5495 46.6264 540 0.12 1.39 -3.30 0.33 0.33 4.79 0.001
THNR 237.7102 47.1025 140 2.25 3.77 -1.92 0.22 0.22 0.65 0.004
THUN 237.7115 47.1058 142 2.25 3.77 -1.92 0.22 0.22 0.65 0.004
TIGR 238.0149 47.5086 816 1.80 2.86 -0.16 0.71 0.85 2.97 -0.031
TIMB 238.2881 45.3340 1848 1.03 2.99 -1.56 0.25 0.28 0.66 -0.029
TNSK 240.5484 48.6943 261 0.42 0.34 -0.75 0.77 1.03 3.34 -0.040
TOP5 239.3894 46.2841 853 -1.46 1.30 16.16 2.11 2.02 107.40 -0.050
U701 242.4175 44.2586 897 -2.77 1.17 -0.94 0.95 0.70 1.23 0.052
U73H 239.7824 44.6306 635 -0.98 2.03 -3.93 0.22 0.25 0.89 0.049
UKIH 241.0422 45.1377 992 -1.23 1.08 -0.47 0.26 0.30 1.01 -0.012
V362 243.2272 46.4689 232 -0.81 0.57 -0.59 0.66 0.92 2.97 -0.023
VERT 243.6968 45.5657 476 -1.54 -0.00 -1.91 0.44 0.53 1.97 0.156
VIDA 237.4294 44.1456 220 0.52 5.03 -1.94 0.35 0.41 1.74 -0.045
VNTG 240.0328 47.0244 352 0.10 0.98 -2.79 0.24 0.29 12.77 -0.003
VOOM 243.5281 44.5985 858 -2.16 -0.53 -0.98 0.35 0.47 1.55 0.003
VRNT 240.2680 46.6369 115 -0.11 0.93 -3.14 0.25 0.29 1.19 0.006
WAMC 238.7264 45.2238 527 0.48 2.38 -0.56 0.23 0.23 0.84 0.005
WDBN 237.1299 45.1709 39 2.76 5.41 -5.96 0.20 0.19 0.88 0.001
WENA 239.4711 46.8397 1080 0.29 1.72 -2.38 0.21 0.24 0.82 0.000
WEPT 237.3359 48.4019 0 3.90 3.23 15.58 0.54 0.63 79.22 -0.027
WHC2 240.1912 44.5515 1016 -1.16 1.42 -0.08 0.32 0.39 1.34 -0.002
WHD1 237.3039 48.3127 13 3.58 3.79 -2.63 0.26 0.34 0.57 0.001
WHEY 237.9651 45.3762 301 0.24 4.49 -2.35 0.20 0.25 1.08 0.003
WHSW 239.4142 46.3608 233 2.48 1.90 -12.58 0.87 1.14 4.46 0.034
WILL 237.8322 52.2369 1095 -1.43 0.19 1.17 0.13 0.11 0.59 0.004
WNTH 239.8270 48.4632 523 0.60 1.33 -2.42 0.39 0.28 0.95 0.010
WOPL 237.2323 48.1401 58 3.30 3.30 -0.40 0.71 0.67 1.43 -0.013
WORD 237.2319 48.1408 60 3.30 3.30 -0.40 0.71 0.67 1.43 -0.013
WORD 237.2319 48.1408 60 3.32 3.37 0.92 1.13 1.09 2.17 -0.008
WSKY 237.4966 48.6558 0 2.22 1.40 20.73 0.81 0.51 56.49 0.027
WWWA 241.7175 46.0883 339 -0.77 -0.15 -2.21 0.38 0.45 1.79 -0.013
Y100 241.2585 46.7961 358 -0.37 1.13 -1.75 0.39 0.43 5.53 -0.005
Y109 238.8652 45.2333 356 -0.26 2.48 -2.54 0.20 0.22 0.79 0.004
Y27X 243.5578 44.7521 887 -0.91 -0.03 -3.11 0.59 0.76 2.53 0.000
Y405 243.7087 45.6564 472 -0.93 0.04 -2.92 0.27 0.33 1.13 -0.053
Y502 238.6336 44.8226 774 -0.33 2.90 -2.58 0.19 0.22 0.77 -0.021
YAKI 239.4949 46.6050 323 0.79 1.77 -2.81 0.31 0.32 0.87 0.004
YALE 237.6819 46.0262 129 0.52 3.87 2.03 0.34 0.39 2.12 -0.074
YAWA 239.4949 46.6050 323 -0.05 1.63 -1.70 0.23 0.24 0.89 -0.002
YELM 237.3943 46.9487 81 2.63 4.05 -1.42 0.28 0.34 197.40 -0.023
YIN2 239.3910 46.3035 338 -1.60 1.83 -7.49 2.67 2.93 23.96 -0.003
Z231 242.6671 47.9693 524 -0.03 -0.07 -0.95 1.35 1.68 6.59 -0.088
Z264 242.1125 48.5415 550 -0.05 -0.06 -3.16 0.36 0.42 1.52 -0.041
Z28X 243.1104 44.3427 784 -4.10 2.34 0.53 1.47 0.84 1.44 -0.002


