SUMMARY OF GPS VELOCITIES

This file gives the GPS velocities used and the fits for the model in which permanent strain rates are
allowed in 8 of the blocks.
  
* in first column indicates velocity not used in solution
SITE = Site code
SRCE = Velocity source code (see Table 1)
BLCK = Block code (see Table 3) 
POLE = Pole this site constrains
Longit. = Longitude of site
Latit. = Latitude of site
Ve = East velocity from original source
Vn = North velocity from original source
Se = East velocity sigma from original source
Sn = North velocity sigma from original source
Sne = North-East correlation from original source
Enet = East reference frame adjustment 
Nnet = North reference frame adjustment 
Eref = East velocity in NOAM reference frame
Nref = North velocity in NOAM reference frame
Eela = East velocity from elastic strain
Nela = North velocity from elastic strain
Erot = East velocity from block rotation
Nrot = North velocity from block rotation
Estr = East velocity from permanent strain rate
Nstr = North velocity from permanent strain rate
Eres = East residual velocity
Nres = North residual velocity
Vres = Total residual velocity
Vsig = Velocity uncertainty in direction of Vres
R/S = Vres / Vsig

 SITE     SRCE BLCK POLE  Longit.   Latit.     Ve     Vn     Se     Sn    Sne    Enet   Nnet   Eref   Nref   Eela   Nela   Erot   Nrot   Estr   Nstr   Eres   Nres   Vres   Vsig    R/S
 CRAF_GPS CMM3 SALT PO12  242.915   34.061  -21.3   18.6    3.0    2.7  0.0080    0.3   -0.1  -21.6   18.6   -0.5   -4.0  -16.2   22.3   -1.4    1.7   -3.5   -1.3    3.7    3.0    1.3
 CRAT     RB03 EBNR PO13  243.431   36.808   -3.2    1.0    0.7    0.7  0.0586    0.2   -0.3   -3.4    1.3   -0.5    0.9   -2.7    0.5    0.0    0.0   -0.2   -0.1    0.2    0.7    0.3
 CRAT     WUSC EBNR PO13  243.431   36.808   -4.0    1.1    1.2    1.3 -0.0254    0.7   -0.1   -4.6    1.1   -0.5    0.9   -2.7    0.5    0.0    0.0   -1.4   -0.3    1.4    1.2    1.2
 CRAV_GPS CMM3 ANZA PO23  243.299   33.543  -20.9   24.6    1.0    1.0 -0.0450    0.3   -0.1  -21.2   24.6    4.7   -4.9  -26.7   30.3    0.1   -0.2    0.6   -0.5    0.8    1.0    0.8
 CRFP     ITRF SALT PO12  242.900   34.039  -28.3    7.7    0.9    0.9 -0.4036  -11.4  -12.3  -16.9   20.0   -0.9   -3.5  -16.2   22.3   -1.3    1.7    1.6   -0.4    1.6    1.0    1.7
 CRFP     WUSC SALT PO12  242.900   34.039  -17.3   19.4    0.8    0.8 -0.2286    0.7   -0.1  -18.0   19.4   -0.9   -3.5  -16.2   22.3   -1.3    1.7    0.5   -1.0    1.2    0.9    1.3
 CRFP_GPS CMM3 SALT PO12  242.900   34.039  -18.2   19.6    0.8    0.9 -0.0620    0.3   -0.1  -18.6   19.7   -0.9   -3.5  -16.2   22.3   -1.3    1.7   -0.1   -0.8    0.8    0.9    0.9
 CRHS_GPS CMM3 SANA PO08  241.727   33.824  -26.0   28.9    1.1    1.1 -0.0340    0.3    0.0  -26.3   28.9    2.9   -3.0  -31.0   32.6    0.0    0.0    1.7   -0.7    1.9    1.1    1.7
 CRRS     WUSC SALT PO12  244.265   33.070  -14.6   19.3    2.6    2.5  0.0436    0.7   -0.1  -15.3   19.4   -1.8   -2.7  -16.3   22.0    3.8   -2.7   -1.0    2.7    2.9    2.5    1.2
 CRRS_GPS CMM3 SALT PO12  244.265   33.070  -13.3   17.7    1.0    1.0 -0.0450    0.3   -0.1  -13.7   17.8   -1.8   -2.7  -16.3   22.0    3.8   -2.7    0.6    1.1    1.3    1.0    1.2
 CSDH     WUSC SANA PO08  241.743   33.861  -27.0   28.5    0.8    0.8 -0.0100    0.7   -0.1  -27.7   28.5    3.1   -3.4  -30.9   32.6    0.0    0.0    0.1   -0.7    0.7    0.8    0.8
 CSDH_GPS CMM3 SANA PO08  241.743   33.861  -27.9   27.7    1.0    1.0 -0.0460    0.3    0.0  -28.3   27.7    3.1   -3.4  -30.9   32.6    0.0    0.0   -0.5   -1.5    1.6    1.0    1.6
 CSN1     WUSC VENT PO19  241.476   34.254  -24.9   26.6    0.8    0.8 -0.1443    0.7   -0.1  -25.6   26.7    1.8   -2.4  -29.7   30.9    0.9   -2.0    1.3    0.2    1.3    0.8    1.7
 CSN1_GPS CMM3 VENT PO19  241.476   34.254  -26.4   25.9    0.9    0.9 -0.0540    0.3    0.0  -26.8   26.0    1.8   -2.4  -29.7   30.9    0.9   -2.0    0.2   -0.5    0.5    0.9    0.6
 CTWD_EDM CMM3 SMOJ PO01  244.090   33.718   -4.6    6.8    1.2    1.1 -0.0880    0.3   -0.1   -5.0    6.9   -4.8    5.7    0.0    0.0    0.0    0.0   -0.2    1.2    1.2    1.2    1.1
 CUTT_GPS CMM3 MOJA PO11  242.395   34.362  -16.7   21.6    1.8    1.6 -0.0020    0.3   -0.1  -17.1   21.7   -8.3   10.8   -9.7   11.8   -0.4   -0.9    1.4   -0.1    1.4    1.8    0.8
 CUYA_GPS CMM3 SALI PO16  240.511   34.928  -23.2   22.9    1.2    1.1 -0.1160    0.3    0.0  -23.6   22.9    4.4   -6.9  -32.3   32.5    2.7   -2.0    1.7   -0.7    1.8    1.2    1.5
*CVHS     WUSC ANZA PO23  242.098   34.082  -30.0   27.2    0.8    0.8 -0.0100    0.7   -0.1  -30.7   27.2    1.9   -4.7  -26.5   31.1   -0.5   -1.5   -5.6    2.4    6.1    0.8    7.6
 CVHS_GPS CMM3 ANZA PO23  242.098   34.082  -28.6   24.9    1.0    1.0 -0.0460    0.3   -0.1  -29.0   25.0    1.9   -4.7  -26.5   31.1   -0.5   -1.5   -3.9    0.1    3.9    1.0    4.0
 CZPL_EDM CMM3 SALI PO16  240.152   35.250  -23.9   25.7    1.5    1.3 -0.1660    0.3    0.0  -24.2   25.8    7.1   -7.6  -31.7   33.1    1.9   -1.2   -1.5    1.5    2.1    1.5    1.4
 D138_GPS CMM3 SALT PO12  243.502   33.571  -15.8   19.5    1.2    1.2 -0.0290    0.3   -0.1  -16.2   19.6   -1.6   -1.7  -16.3   22.2    1.1   -0.2    0.7   -0.7    1.0    1.2    0.8
 D1ZZ_QLT TH01 EBNR PO13  243.839   40.084   -2.8    0.7    1.2    0.6 -0.0900   -0.1    0.1   -2.7    0.6   -0.1    0.3   -3.5    0.6    0.0    0.0    0.9   -0.4    0.9    1.1    0.8
 D22Z_QLT TH01 EBNR PO13  244.024   39.543   -3.2    2.9    1.2    0.8 -0.1200    0.0    0.1   -3.2    2.8   -0.1    0.3   -3.4    0.7    0.0    0.0    0.3    1.8    1.8    0.8    2.3
 D24Z_QLT TH01 EBNR PO13  244.201   39.381   -1.9    2.0    1.2    0.8 -0.1600    0.0    0.1   -1.9    1.9   -0.1    0.3   -3.4    0.7    0.0    0.0    1.5    0.8    1.7    1.0    1.7
 D26Z_QLT TH01 EBNR PO13  244.444   39.402   -2.2    1.7    1.2    0.8 -0.1400    0.0    0.1   -2.2    1.5   -0.1    0.3   -3.4    0.8    0.0    0.0    1.2    0.5    1.3    1.1    1.2
 D28Z_QLT TH01 EBNR PO13  244.918   39.416   -3.7    1.9    1.5    1.1 -0.1100    0.0    0.2   -3.8    1.7    0.0    0.2   -3.4    0.9    0.0    0.0   -0.4    0.6    0.7    1.3    0.6
 D2ZZ_QLT TH01 EBNR PO13  243.694   39.534   -2.7    1.9    0.9    0.7 -0.1300    0.0    0.1   -2.7    1.9   -0.1    0.4   -3.4    0.6    0.0    0.0    0.8    0.9    1.2    0.7    1.6
 D3ZZ_QLT TH01 EBNR PO13  243.254   39.056   -1.6    1.4    0.9    0.6 -0.0400    0.1    0.0   -1.7    1.4   -0.2    0.6   -3.3    0.5    0.0    0.0    1.8    0.4    1.9    0.9    2.0
 DAM1     ITRF VENT PO19  241.603   34.334  -37.3   11.2    0.9    0.8 -0.4340  -11.3  -12.7  -26.0   23.9    2.5   -4.1  -29.5   30.8    0.7   -2.9    0.3    0.0    0.3    0.8    0.3
 DAM1     WUSC VENT PO19  241.603   34.334  -25.8   23.7    0.8    0.8 -0.1536    0.7   -0.1  -26.5   23.7    2.5   -4.1  -29.5   30.8    0.7   -2.9   -0.3   -0.1    0.3    0.8    0.4
 DANA_GPS CMM3 WBAJ PO18  242.291   33.464  -27.3   30.5    0.9    1.0 -0.0690    0.3   -0.1  -27.7   30.6    1.3   -1.1  -28.9   30.4    0.0    0.0   -0.1    1.3    1.3    1.0    1.3
 DANT     MC01 EBNR PO13  243.274   36.226   -0.9    0.7    1.4    1.6 -0.0510    2.0   -0.8   -2.8    1.4   -1.1    1.5   -2.6    0.5    0.0    0.0    0.8   -0.6    1.0    1.5    0.7
 DANT     RB03 EBNR PO13  243.274   36.226   -1.4    2.4    1.8    2.1 -0.0761    0.2   -0.3   -1.6    2.7   -1.1    1.5   -2.6    0.5    0.0    0.0    2.0    0.7    2.2    1.8    1.2
 DANT     WUSC EBNR PO13  243.274   36.226   -1.8    2.6    1.9    2.2 -0.0659    0.7   -0.1   -2.5    2.6   -1.1    1.5   -2.6    0.5    0.0    0.0    1.2    0.6    1.3    1.9    0.7
 DASH_GPS CMM3 ANZA PO23  242.914   33.636  -22.7   26.9    1.0    1.1 -0.0550    0.3   -0.1  -23.1   26.9    2.9   -3.3  -26.7   30.5   -0.2   -0.5    0.9    0.2    0.9    1.0    0.9
 DBL1_GPS CMM3 SNEV PO04  241.513   35.033  -13.8   14.4    1.1    1.2 -0.0270    0.3    0.0  -14.2   14.5   -0.1    7.1  -12.1    7.2    0.0    0.0   -2.0    0.2    2.0    1.1    1.8
 DBLO_EDM CMM3 WBAJ PO18  244.127   32.309  -26.7   28.7    1.4    1.1  0.0420    0.3   -0.1  -27.0   28.7    3.5    0.0  -30.3   28.4    0.0    0.0   -0.2    0.4    0.4    1.2    0.4
*DEAD     WUSC EMOJ PO26  243.721   34.255  -10.0   -8.3   17.6   24.1 -0.0924    0.7   -0.1  -10.7   -8.3    0.4    1.5   -6.6    3.9    0.0    0.0   -4.5  -13.7   14.4   23.1    0.6
 DEER     MC01 SNEV PO04  241.492   35.086   -9.7   12.3    0.5    0.5 -0.0250    2.2   -1.0  -11.9   13.3   -0.1    6.5  -12.1    7.2    0.0    0.0    0.2   -0.4    0.5    0.5    0.9
 DEER_GPS CMM3 SNEV PO04  241.492   35.086  -11.6   14.7    0.9    1.0 -0.0430    0.3    0.0  -11.9   14.8   -0.1    6.5  -12.1    7.2    0.0    0.0    0.2    1.0    1.1    1.0    1.1
 DELO_GPS CMM3 VENT PO19  241.489   34.258  -24.4   26.1    1.1    1.2 -0.0190    0.3    0.0  -24.8   26.1    1.9   -2.5  -29.6   30.9    0.9   -2.1    2.1   -0.2    2.2    1.1    1.9
 DESO     WUSC NOAM PO01  244.600   33.715    0.0    2.6    1.3    1.2  0.0346    0.7   -0.1   -0.7    2.6   -2.2    1.6    0.0    0.0    0.0    0.0    1.5    1.0    1.8    1.3    1.4
 DESO_GPS CMM3 NOAM PO01  244.600   33.715   -1.3    0.8    1.0    1.0 -0.0440    0.3   -0.1   -1.6    0.9   -2.2    1.6    0.0    0.0    0.0    0.0    0.6   -0.7    0.9    1.0    0.9
 DET1     ITRF NOAM PO01  276.905   42.297  -14.6   -2.0    1.1    1.3  0.1255  -15.9   -0.1    1.3   -1.9    0.0    0.0    0.0    0.0    0.0    0.0    1.3   -1.9    2.3    1.2    2.0
 DEVL     WUSC VENT PO19  240.216   34.029  -29.7   36.1    3.1    2.3  0.1445    0.7   -0.1  -30.4   36.1   -0.3   -0.3  -30.4   32.2    0.5    3.0   -0.2    1.2    1.2    2.3    0.5
 DEVL_GPS CMM3 VENT PO19  240.216   34.029  -30.3   35.2    1.0    1.0 -0.0030    0.3    0.0  -30.6   35.3   -0.3   -0.3  -30.4   32.2    0.5    3.0   -0.4    0.4    0.5    1.0    0.5
 DHLG     WUSC SALT PO12  244.212   33.390  -11.3    9.8    0.8    0.8 -0.1850    0.7   -0.1  -12.0    9.8    4.1   -8.5  -16.2   22.1    2.3   -2.8   -2.2   -0.9    2.4    0.7    3.2
 DHLG_GPS CMM3 SALT PO12  244.212   33.390  -10.9    9.6    0.9    0.9 -0.0600    0.3   -0.1  -11.2    9.6    4.1   -8.5  -16.2   22.1    2.3   -2.8   -1.4   -1.1    1.8    0.8    2.2
 DIAB     BARD GVTB PO03  238.084   37.879   -8.6   12.3    1.0    1.0  0.0010    2.3    0.2  -10.9   12.1   -1.1    0.9   -6.9   12.9   -3.9   -0.2    1.0   -1.4    1.7    1.0    1.7
 DIAB     RB03 GVTB PO03  238.084   37.879  -12.1   13.6    0.5    0.5 -0.0154    0.2   -0.4  -12.2   14.0   -1.1    0.9   -6.9   12.9   -3.9   -0.2   -0.3    0.4    0.5    0.5    1.0
*DIAB     WUSC GVTB PO03  238.084   37.879  -11.0   13.0    0.9    0.9 -0.0308    0.7   -0.1  -11.7   13.0   -1.1    0.9   -6.9   12.9   -3.9   -0.2    0.3   -0.5    0.6    0.9    0.6
 DIOR_EDM CMM3 MOJA PO11  241.385   34.934  -12.8   15.9    0.9    1.0 -0.0370    0.3    0.0  -13.2   16.0   -4.3    5.7  -10.0   11.4    0.8   -0.7    0.4   -0.5    0.6    1.0    0.6
 DIP0_GPS CMM3 MOJA PO11  242.569   34.635  -13.6   14.5    1.8    1.8 -0.0790    0.3   -0.1  -13.9   14.6   -2.0    2.8   -9.8   11.9   -0.1   -0.1   -2.0   -0.1    2.0    1.8    1.1
 DISP_EDM CMM3 SGAB PO10  241.895   34.247  -23.4   20.8    1.2    1.2  0.1860    0.3    0.0  -23.7   20.8    4.1   -1.8  -29.3   26.4   -0.4   -1.3    2.0   -2.4    3.1    1.1    2.8
 DIVI_GPS CMM3 VENT PO19  241.446   34.102  -26.8   32.2    1.1    1.1 -0.0300    0.3    0.0  -27.2   32.3    1.1   -0.7  -29.9   31.0    1.4   -1.0    0.2    3.0    3.1    1.1    2.7
 DIXI_EDM CMM3 ANZA PO23  244.204   32.791  -25.0   28.2    1.0    1.0  0.0570    0.3   -0.1  -25.4   28.2    3.2   -5.1  -27.3   29.6    0.3    1.2   -1.6    2.4    2.9    1.0    2.9
 DOUB_EDM CMM3 ANZA PO23  242.877   33.724  -23.3   25.4    1.4    1.8 -0.1070    0.3   -0.1  -23.7   25.5    3.5   -3.8  -26.6   30.5   -0.1   -0.6   -0.4   -0.6    0.8    1.6    0.5
 DQUA     RB03 NOAM PO01  265.710   34.111    0.1    1.3    0.5    0.5 -0.0057    0.2   -0.1    0.0    1.4    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.4    1.4    0.5    2.8
*DQUA     WUSC NOAM PO01  265.710   34.111    1.2    0.8    0.8    0.8 -0.0103    0.7    0.0    0.5    0.9    0.0    0.0    0.0    0.0    0.0    0.0    0.5    0.9    1.0    0.8    1.2
*DRAO     ITRF NOAM PO01  240.375   49.322  -13.3  -11.7    0.5    0.5 -0.4114  -14.3  -13.1    1.0    1.4    0.0    0.0    0.0    0.0    0.0    0.0    1.0    1.4    1.8    0.4    4.5
*DRAO     RB03 NOAM PO01  240.375   49.323    1.5    1.7    0.5    0.5  0.0685    0.0   -0.4    1.5    2.1    0.0    0.0    0.0    0.0    0.0    0.0    1.5    2.1    2.6    0.5    5.0
*DRAO     WUSC NOAM PO01  240.375   49.323    1.9    2.1    0.8    0.8  0.0506    0.5   -0.1    1.3    2.1    0.0    0.0    0.0    0.0    0.0    0.0    1.3    2.1    2.5    0.8    3.1
*DSHS     WUSC WBAJ PO18  241.651   34.024  -30.4   31.2    3.6    3.3  0.0895    0.7   -0.1  -31.1   31.3    1.9   -3.6  -28.2   31.1    0.0    0.0   -4.8    3.7    6.1    3.3    1.8
 DSHS_GPS CMM3 WBAJ PO18  241.651   34.024  -25.1   28.0    1.1    1.1 -0.0370    0.3    0.0  -25.4   28.0    1.9   -3.6  -28.2   31.1    0.0    0.0    0.8    0.5    0.9    1.1    0.9
 DSSC     WUSC SALT PO12  243.288   33.733  -16.6   19.0    2.8    2.7  0.0522    0.7   -0.1  -17.3   19.1   -1.2   -1.5  -16.3   22.2    0.3    0.5   -0.1   -2.2    2.2    2.7    0.8
 DUBO     ITRF NOAM PO01  264.134   50.258  -17.0   -4.1    0.5    1.0 -0.1759  -17.4   -4.9    0.4    0.8    0.0    0.0    0.0    0.0    0.0    0.0    0.4    0.8    0.9    0.9    1.0
 DUBO     RB03 NOAM PO01  264.134   50.259    0.8   -1.1    1.0    0.6 -0.0170   -0.1   -0.1    0.9   -0.9    0.0    0.0    0.0    0.0    0.0    0.0    0.9   -0.9    1.3    0.8    1.5
 DUBO     WUSC NOAM PO01  264.134   50.259    1.4   -1.5    1.2    0.8 -0.0017    0.5    0.0    0.9   -1.5    0.0    0.0    0.0    0.0    0.0    0.0    0.9   -1.5    1.8    0.9    1.9
 DUGO_EDM CMM3 VENT PO19  241.723   34.215  -22.3   22.6    2.0    1.7 -0.4460    0.3    0.0  -22.7   22.6    2.2   -3.0  -29.6   30.7    1.3   -2.5    3.5   -2.5    4.3    2.2    1.9
 DUNN     JF99 WCCR PO17  236.355   39.011    2.4  -11.2    5.0    2.7  0.0105   24.2  -41.4  -21.8   30.2   -6.1    7.9  -15.4   23.1    0.0    0.0   -0.4   -0.8    0.9    3.3    0.3
 DUNP     WUSC SALT PO12  243.719   33.750  -10.4   14.0    1.3    1.3  0.0067    0.7   -0.1  -11.1   14.1    4.2   -7.4  -16.2   22.1    0.4   -1.2    0.5    0.5    0.8    1.3    0.6
 DUNP_GPS CMM3 SALT PO12  243.719   33.750  -10.4   13.6    1.1    1.1 -0.0480    0.3   -0.1  -10.7   13.7    4.2   -7.4  -16.2   22.1    0.4   -1.2    0.9    0.2    0.9    1.0    0.9
 DV78_EDM CMM3 EBAJ PO21  244.573   32.222  -24.7   27.5    1.4    1.2  0.2720    0.3   -0.1  -25.0   27.5    2.8   -3.7  -28.0   31.5    0.0    0.0    0.2   -0.3    0.4    1.1    0.4
 DV86_EDM CMM3 SALT PO12  243.003   33.908  -19.0   20.3    1.1    1.4 -0.1920    0.3   -0.1  -19.3   20.4   -1.6   -1.9  -16.3   22.2   -0.7    1.5   -0.8   -1.4    1.7    1.2    1.3
 DVPB_GPS CMM3 SGAB PO10  242.140   34.413  -21.6   20.2    1.1    1.1 -0.0310    0.3   -0.1  -22.0   20.2    8.5   -6.2  -29.0   26.1    0.3    0.6   -1.7   -0.4    1.8    1.1    1.6
 DYER     RB03 EBNR PO13  241.961   37.743   -4.2    4.2    1.0    0.8  0.1074    0.2   -0.3   -4.4    4.5   -2.0    2.6   -3.0    0.2    0.0    0.0    0.6    1.7    1.8    0.9    2.1
*DYER     WUSC EBNR PO13  241.961   37.743   -1.1    4.1    3.6    3.1  0.1050    0.7   -0.1   -1.8    4.2   -2.0    2.6   -3.0    0.2    0.0    0.0    3.2    1.4    3.5    3.7    0.9
*DYHS     WUSC WBAJ PO18  241.874   33.938  -28.6   26.0    0.8    0.8 -0.0085    0.7   -0.1  -29.3   26.0    1.9   -3.5  -28.2   30.9    0.0    0.0   -2.9   -1.4    3.2    0.8    4.1
*DYHS_GPS CMM3 WBAJ PO18  241.874   33.938  -31.6   25.6    1.0    1.0 -0.0460    0.3    0.0  -31.9   25.6    1.9   -3.5  -28.2   30.9    0.0    0.0   -5.6   -1.8    5.8    1.0    6.0
 E122     WUSC SALT PO12  244.405   32.800  -17.4   21.8    2.5    2.5  0.0128    0.7   -0.1  -18.1   21.9   -5.2    1.4  -16.4   22.0    5.2   -2.9   -1.7    1.4    2.2    2.5    0.9
 E122_GPS CMM3 SALT PO12  244.406   32.800  -16.1   21.7    1.3    1.2 -0.0070    0.3   -0.1  -16.5   21.8   -5.2    1.4  -16.4   22.0    5.2   -2.9    0.0    1.4    1.4    1.2    1.2
 E1ZZ_QLT TH01 EBNR PO13  245.348   39.902   -2.2    0.5    1.2    0.6 -0.0300    0.0    0.2   -2.2    0.2    0.1    0.2   -3.5    1.0    0.0    0.0    1.2   -0.9    1.5    1.0    1.5
 E22Z_QLT TH01 EBNR PO13  245.342   39.033   -2.3    1.2    1.3    0.9 -0.0900    0.1    0.2   -2.3    1.0    0.0    0.2   -3.3    1.0    0.0    0.0    0.9   -0.2    0.9    1.3    0.7
 E24Z_QLT TH01 EBNR PO13  245.547   39.069   -3.6    2.4    1.2    0.8 -0.1300    0.1    0.3   -3.7    2.2    0.0    0.2   -3.3    1.0    0.0    0.0   -0.5    1.0    1.1    1.0    1.1
 E259_QLT TH01 EBNR PO13  245.761   39.098    1.7   -4.0    7.4    4.4 -0.0900    0.1    0.3    1.6   -4.3    0.1    0.2   -3.3    1.1    0.0    0.0    4.8   -5.5    7.3    6.1    1.2
 E26Z_QLT TH01 EBNR PO13  245.796   39.097   -5.2    2.1    2.5    1.4 -0.1700    0.1    0.3   -5.2    1.9    0.1    0.2   -3.3    1.1    0.0    0.0   -2.0    0.6    2.1    2.5    0.9
 E28Z_QLT TH01 EBNR PO13  246.113   39.045   -4.9    2.6    1.2    0.8 -0.1000    0.1    0.3   -5.0    2.3    0.1    0.1   -3.3    1.1    0.0    0.0   -1.8    1.0    2.0    1.2    1.7
 E2ZZ_QLT TH01 EBNR PO13  245.047   39.290   -4.6    0.9    0.8    0.6 -0.0700    0.1    0.2   -4.7    0.7    0.0    0.2   -3.3    0.9    0.0    0.0   -1.3   -0.5    1.4    0.8    1.8
 E3ZZ_QLT TH01 EBNR PO13  244.870   38.890   -3.4    1.8    1.0    0.6 -0.0300    0.1    0.2   -3.5    1.6    0.0    0.3   -3.2    0.9    0.0    0.0   -0.2    0.5    0.5    0.7    0.8
 EBMD     BARD WCCR PO17  237.716   37.815  -16.9   26.4    1.5    1.5  0.0100    2.3    0.2  -19.2   26.2   -1.9    2.2  -16.5   22.0    0.0    0.0   -0.8    2.1    2.2    1.5    1.5
*ECCO     WUSC SANA PO08  241.671   33.887  -22.6   31.7    3.4    3.0  0.0783    0.7   -0.1  -23.3   31.7    3.0   -3.4  -30.9   32.7    0.0    0.0    4.6    2.5    5.2    3.4    1.5
 ECCO_GPS CMM3 SANA PO08  241.671   33.887  -26.8   29.0    1.1    1.1 -0.0390    0.3    0.0  -27.1   29.0    3.0   -3.4  -30.9   32.7    0.0    0.0    0.8   -0.2    0.8    1.1    0.7
 ECHO     RB03 EBNR PO13  245.736   37.916   -3.6    0.1    1.0    0.8  0.1137    0.2   -0.3   -3.7    0.4    0.0    0.2   -3.0    1.1    0.0    0.0   -0.7   -0.8    1.1    1.0    1.1
*ECHO     WUSC EBNR PO13  245.736   37.916   -2.2   -1.2    4.6    3.8  0.1197    0.7   -0.1   -2.8   -1.2    0.0    0.2   -3.0    1.1    0.0    0.0    0.1   -2.4    2.4    3.8    0.6
 ECMO_GPS CMM3 EMOJ PO26  243.194   35.300   -5.9    5.5    1.7    2.1 -0.0110    0.3   -0.1   -6.2    5.6   -0.6    2.1   -5.5    4.4    0.0    0.0   -0.1   -0.8    0.8    2.1    0.4
 ECRK_GPS CMM3 SGAB PO10  241.945   34.225  -25.1   22.5    1.0    1.0 -0.0720    0.3   -0.1  -25.4   22.5    4.5   -1.5  -29.4   26.3   -0.4   -1.4   -0.1   -0.9    0.9    1.0    0.9
 EDOM_EDM CMM3 SALT PO12  243.569   33.870  -11.8   13.1    1.6    1.4  0.3840    0.3   -0.1  -12.2   13.2    5.0   -7.3  -16.2   22.2   -0.3   -0.7   -0.8   -0.9    1.2    1.7    0.7
*EDOM_GLA CMM3 SALT PO12  243.569   33.870   -9.5   17.7    0.9    0.9 -0.0530    0.3   -0.1   -9.9   17.8    5.0   -7.3  -16.2   22.2   -0.3   -0.7    1.5    3.7    4.0    0.9    4.4
 EGAN     BARD EBNR PO13  245.061   39.345   -2.1    0.4    0.8    0.8  0.0000    2.6   -1.1   -4.6    1.5    0.0    0.2   -3.4    0.9    0.0    0.0   -1.3    0.3    1.3    0.8    1.6
 EGAN     RB03 EBNR PO13  245.061   39.345   -4.3    0.4    0.5    0.5  0.0029    0.2   -0.3   -4.5    0.7    0.0    0.2   -3.4    0.9    0.0    0.0   -1.1   -0.4    1.2    0.5    2.4
 EGAN     WUSC EBNR PO13  245.061   39.345   -4.4    0.8    0.8    0.8 -0.0961    0.6   -0.1   -5.0    0.8    0.0    0.2   -3.4    0.9    0.0    0.0   -1.7   -0.3    1.7    0.8    2.2
 ELAL     DXB2 WBAJ PO18  243.790   31.850  -29.9   30.3    1.3    1.1  0.0000    0.0   -0.4  -29.9   30.8    1.7    1.0  -31.1   28.8    0.0    0.0   -0.5    1.0    1.1    1.1    0.9
 ELCH     DXB2 EBAJ PO21  244.950   31.490  -29.0   28.3    1.4    1.0  0.0000    0.0   -0.3  -29.0   28.5    1.3   -2.0  -28.9   31.2    0.0    0.0   -1.4   -0.6    1.5    1.3    1.1
 ELJA     DXB2 WBAJ PO18  244.240   31.490  -30.4   30.9    2.7    1.1  0.0000    0.0   -0.3  -30.4   31.2    1.9    1.7  -31.6   28.3    0.0    0.0   -0.7    1.3    1.5    1.6    1.0
 ELK2     BARD EBNR PO13  244.219   40.828   -1.8   -0.1    0.9    0.9  0.0010    2.8   -0.9   -4.6    0.8    0.0    0.2   -3.7    0.7    0.0    0.0   -0.9   -0.1    0.9    0.9    1.0
 ELK3     BARD EBNR PO13  244.183   40.915   -2.5    1.1    0.9    0.9 -0.0020    2.9   -0.9   -5.4    2.0    0.0    0.2   -3.7    0.7    0.0    0.0   -1.7    1.1    2.0    0.9    2.2
 ELKO     RB03 EBNR PO13  244.183   40.915   -4.1    0.5    0.5    0.5  0.0010    0.1   -0.3   -4.3    0.8    0.0    0.2   -3.7    0.7    0.0    0.0   -0.6   -0.1    0.6    0.5    1.1
 ELKO     WUSC EBNR PO13  244.183   40.915   -4.4    1.4    0.8    0.8 -0.0794    0.6   -0.1   -5.0    1.4    0.0    0.2   -3.7    0.7    0.0    0.0   -1.3    0.5    1.4    0.8    1.7
 ELMO     DXB2 CATA PO05  243.010   32.270  -28.8   31.1    1.5    1.1  0.0000   -0.1   -0.5  -28.7   31.6    0.2   -3.3  -30.0   35.2    0.0    0.0    1.1   -0.4    1.2    1.5    0.8
 ELPH_EDM CMM3 ANZA PO23  243.825   33.045  -24.0   26.2    1.0    1.1 -0.0390    0.3   -0.1  -24.3   26.3    2.6   -4.8  -27.1   29.9    0.2    0.7    0.0    0.4    0.4    1.1    0.4
*ELSC_GPS CMM3 WBAJ PO18  241.792   34.030  -27.9   22.9    1.1    1.1 -0.0370    0.3    0.0  -28.3   23.0    2.1   -4.2  -28.1   31.0    0.0    0.0   -2.2   -3.8    4.4    1.1    4.0
 ELSI_EDM CMM3 WBAJ PO18  242.657   33.602  -25.9   27.1    1.1    1.2  0.0980    0.3   -0.1  -26.2   27.1    2.9   -2.4  -28.6   30.0    0.0    0.0   -0.6   -0.5    0.8    1.2    0.7
 ELY_     WUSC EBNR PO13  245.157   39.293   -2.9   -0.2    1.7    2.5 -0.0804    0.6   -0.1   -3.6   -0.1    0.0    0.2   -3.3    0.9    0.0    0.0   -0.3   -1.2    1.3    2.4    0.5
 ELYA     DXSN EBNR PO13  245.160   39.290   -3.3    0.6    1.2    0.6  0.0000    0.4    0.6   -3.7    0.0    0.0    0.2   -3.3    0.9    0.0    0.0   -0.4   -1.1    1.2    0.7    1.7
 ENDD     WUSC NOAM PO01  245.519   34.044    2.5    1.1    2.5    2.3  0.0797    0.7   -0.1    1.8    1.2   -1.0    0.6    0.0    0.0    0.0    0.0    2.8    0.5    2.8    2.6    1.1
 ENDD_GPS CMM3 NOAM PO01  245.519   34.044   -0.2    0.9    1.2    1.0 -0.0310    0.3   -0.1   -0.5    1.0   -1.0    0.6    0.0    0.0    0.0    0.0    0.5    0.4    0.6    1.1    0.6
