PREDICTED SLIP VECTORS ON FAULTS

The following calculations are made at points mid-way between each pair of nodes on the faults.

 Longit. = Longitude of site
 Latit. = Latitude of site
 Ve = East velocity of fault slip vector
 Vn = North velocity of fault slip vector
 Se = East velocity sigma of fault slip vector
 Sn = North velocity sigma of fault slip vector
 Sne = North-East correlation of fault slip vector
 Fault_name = name of fault segment
 FIXD = code for fixed block (see README) 
 MOVG = code for moving block (see README) 
 V = Total slip rate 
 Vsig = Uncertainty in direction of V
 Az. = Azimuth of slip vector
 Az_sig = uncertainty in Az.
 Phi = coupling fraction
 Phi_sig = uncertainty in phi
 Vp = fault-parallel slip rate (positive is right-lateral)
 Vp_sig = uncertainty in Vp
 Vn = fault-normal slip rate (positive is extensional)
 Vn_sig = uncertainty in Vp
 Str. = strike of fault segment (facing this azimuth, fault dips to observer's right)
 Dip = dip angle of fault segment

Fault name abbreviations:
 AL - Airport Lake
 BSPR - Bartlett Springs
 Bwatr - Blackwater
 Clco - Calico
 DS - Desert Springs
 DV - Death Valley
 FC - Furnace Creek
 FL - Fish Lake
 HM - Hunter Mountain
 Hos - Hosgri
 Hwrd - Hayward
 IM - Inyo Mountains
 ImpVal - Imperial Valley
 Ing - Inglewood
 LgnaSal - Laguna Salada
 Ludlo - Ludlow
 Macama - Ma'acama
 NCalv - North Calaveras
 Newp = Newport
 P - Panamint Valley
 Pgsah - Pigsah
 Pkfd - Parkfield
 RC - Rose Canyon
 SA - San Andreas
 Salt - Salton
 SF - San Francisco
 SGabMoj - San Gabriel / Mojave
 SGr - San Gregorio
 SNGV_thr - Great Valley thrust belt
 SV - Saline Valley
 WM - White Mountain
 Yuc - Yucaipa

 Longit.  Latit.     Ve    Vn      Se     Sn    Sne Fault_name MOVG FIXD     V    Vsig    Az.  Az_sig  Phi  Phi_sig  Vp  Vp_sig  Vn  Vn_sig Str.   Dip
 241.088  34.844   18.9  -19.2    1.1    1.4  0.659 SA_SGabMoj MOJA SGAB   27.0    0.7  135.5    2.6  0.992  0.027 -26.4   0.7   5.8   1.6 123.0  85.1
 244.823  30.676    0.3   -3.5    1.4    1.1  0.640 NewpIngRC  EBAJ CATA    3.5    1.0  175.0   23.5  1.000  0.158   3.5   0.9  -0.6   1.6 345.2  85.5
 244.145  31.446   -1.5   -6.6    1.2    1.0  0.722 NewpIngRC  WBAJ CATA    6.8    1.1  193.0    9.9  1.000  0.158   0.6   0.9  -6.8   1.2 287.8  85.7
 243.521  31.721   -1.2   -6.1    1.1    0.8  0.601 NewpIngRC  WBAJ CATA    6.2    0.9  191.2    9.7  1.000  0.158   3.8   0.6  -4.8   1.2 319.5  85.2
 243.201  32.105   -0.8   -5.8    0.9    0.7  0.475 NewpIngRC  WBAJ CATA    5.8    0.7  187.7    9.0  0.870  0.145   4.5   0.5  -3.7   1.0 328.3  85.0
 242.775  32.611   -3.2   -4.1    1.1    0.8  0.539 NewpIngRC  SANA CATA    5.2    1.1  217.4   10.8  0.740  0.132   1.3   0.6  -5.0   1.2 321.6  85.0
 242.310  33.081   -2.5   -3.6    0.9    0.6  0.249 NewpIngRC  SANA CATA    4.4    0.8  214.7   10.4  0.740  0.132   1.1   0.6  -4.2   0.8 318.6  85.0
 241.920  33.527   -1.9   -3.1    0.8    0.6  0.110 NewpIngRC  SANA CATA    3.7    0.7  210.5   11.8  0.740  0.132   1.7   0.6  -3.2   0.8 328.7  85.1
 241.555  33.865   -1.4   -2.7    0.8    0.6  0.256 NewpIngRC  SANA CATA    3.1    0.7  206.7   15.3  0.740  0.132   0.3   0.7  -3.1   0.8 301.6  85.2
 243.686  33.940    4.2   -9.0    1.0    1.4 -0.319 EurekaPk   SMOJ SWMO    9.9    1.5  155.2    6.6  0.364  0.202   9.7   1.4   2.2   1.0 348.2  85.0
 243.653  34.066    4.2   -9.0    1.2    1.3 -0.548 EurekaPk   SMOJ SWMO    9.9    1.5  154.9    7.4  0.364  0.202   9.7   1.5   2.2   1.1 347.5  85.0
 241.909  34.183    1.1    1.8    1.1    1.0  0.638 SanGabriel ANZA VENT    2.1    1.3   30.7   36.0  0.414  0.181  -0.7   0.6   2.0   1.4 319.4  74.8
 241.887  34.205   -1.8   -2.9    0.7    0.9  0.400 SanGabriel SGAB VENT    3.4    1.0  211.5   14.4  0.414  0.181   1.1   0.7  -3.2   0.9 320.8  70.0
 241.696  34.322   -1.0   -2.2    0.6    0.8  0.288 SanGabriel SGAB VENT    2.4    0.8  205.7   22.4  0.414  0.181   0.4   0.6  -2.4   0.8 304.5  70.0
 241.284  34.615    0.8    0.0    0.8    1.0  0.555 SanGabriel SGAB VENT    0.8    0.8   89.5   67.6  0.414  0.181   0.6   0.6   0.6   1.1 314.9  70.0
 242.381  34.179   -3.0   -4.4    1.1    1.2  0.506 Cucamonga  SGAB ANZA    5.3    1.4  213.9   12.5  0.815  0.100  -3.7   1.2  -3.8   1.1 259.1  70.3
 242.049  34.184   -3.0   -4.8    1.1    1.0  0.651 Cucamonga  SGAB ANZA    5.6    1.3  212.0   11.2  0.815  0.100  -1.6   0.9  -5.4   1.2 285.1  70.6
 240.263  33.944   -2.5    2.0    0.6    0.5 -0.428 SMonica    PACI VENT    3.2    0.6  -50.5    9.4  1.000  0.097   2.6   0.6  -1.8   0.5  94.7  85.0
 240.957  33.935   -1.0    2.8    0.7    0.5  0.084 SMonica    CATA VENT    3.0    0.5  -19.2   13.3  1.000  0.097   0.8   0.7  -2.9   0.5  86.9  85.0
 241.463  33.986   -2.5    2.4    0.9    0.7  0.485 SMonica    SANA VENT    3.5    0.6  -46.4   14.7  1.000  0.097   1.7   1.0  -3.0   0.6  73.7  85.0
 241.761  34.075    0.0    2.1    0.6    0.8  0.439 SMonica    WBAJ VENT    2.1    0.8    0.5   21.3  1.000  0.097  -0.9   0.7  -2.0   0.6  67.1  85.0
 241.976  36.494    1.8   -1.8    0.7    0.3  0.220 WM_IM      INYO WEBR    2.6    0.5  134.9   12.6  0.714  0.143   2.1   0.3   1.5   0.7 349.9  80.0
 241.845  37.005    2.3   -1.4    0.7    0.3  0.209 WM_IM      INYO WEBR    2.7    0.6  120.3   10.0  0.714  0.143   1.8   0.3   2.0   0.7 347.3  80.0
 241.670  37.579    2.9   -0.8    0.7    0.3  0.271 WM_IM      INYO WEBR    3.0    0.6  105.9    7.6  0.714  0.143   1.5   0.3   2.6   0.7 345.4  81.2
 241.613  37.891    3.2   -0.5    0.7    0.4  0.316 WM_IM      INYO WEBR    3.2    0.7   99.8    7.1  0.714  0.143  -1.3   0.6   3.0   0.6  33.3  82.5
 243.931  34.154   -6.7    3.7    0.8    0.5  0.379 EPintoMtn  EMOJ SMOJ    7.7    0.7  -61.0    4.2  0.492  0.154  -7.3   0.8   2.4   0.5 281.1  74.6
 243.730  34.174   -6.7    3.9    0.8    0.4  0.186 EPintoMtn  EMOJ SMOJ    7.8    0.7  -59.9    4.2  0.983  0.309  -6.9   0.8   3.5   0.4 272.9  75.2
 243.480  34.151   -6.4    3.1    1.7    1.5  0.068 WPintoMtn  MOJA SWMO    7.1    1.6  -64.0   42.9  0.017  0.399  -5.2   1.7   4.8   1.5 253.4  75.2
 243.273  34.108   -6.4    2.8    1.5    2.1  0.339 WPintoMtn  MOJA SWMO    7.0    1.3  -66.3   94.9  0.017  0.399  -5.7   1.6   4.0   2.0 258.3  74.9
